ID,NOME,CATEGORIA,MARCA
1,Smartphone Samsung Galaxy A53,Eletrônicos,Samsung
2,Camiseta Masculina Estampada,Vestuário,Adidas
3,Conjunto de Panelas Tramontina,Utensílios de Cozinha,Tramontina
4,Arroz Branco Tipo 1 (5kg),Alimentos,Arroz Tio João
5,Notebook Dell Inspiron 15,Eletrônicos,Dell
6,Calça Jeans Feminina Levi's,Vestuário,Levi's
7,Luminária de Mesa LED,Decoração,Philips
8,Feijão Preto (1kg),Alimentos,Feijão Camil
9,Smartwatch Xiaomi Mi Band 6,Eletrônicos,Xiaomi
10,Vestido de Verão Floral,Vestuário,Renner
11,Quadro Decorativo com Moldura,Decoração,Arte em Casa
12,Azeite Extra Virgem Gallo (500ml),Alimentos,Gallo
13,Fone de Ouvido JBL Bluetooth,Eletrônicos,JBL
14,Blusa de Frio Feminina,Decoração,Marisa
15,Candelabro de Cristal,Decoração,Decora
16,Café Solúvel Nescafé (200g),Alimentos,Nescafé
17,Tablet Samsung Galaxy Tab S7,Eletrônicos,Samsung
18,Saia Midi Plissada,Vestuário,Marisa
19,Espelho de Parede Oval,Decoração,Decora
20,Açúcar Cristal (1kg),Alimentos,União
21,Câmera Digital Canon EOS,Eletrônicos,Canon
22,Calças de Moletom Masculinas,Vestuário,Adidas
23,Abajur de Mesa Moderno,Decoração,Decora
24,Macarrão Espaguete Barilla (500g),Alimentos,Barilla
25,Smart TV LG 50" 4K,Eletrônicos,LG
26,Casaco de Inverno,Vestuário,Columbia
27,Tapete de Sala,Decoração,Decora
28,Leite Condensado Moça (395g),Alimentos,Nestlé
29,Caixa de Som Bluetooth JBL,Eletrônicos,JBL
30,Shorts Jeans Feminino,Vestuário,Levi's
31,Vaso de Cerâmica Grande,Decoração,Decora
32,Ovos (Dúzia),Alimentos,Granja Fina
33,Console PlayStation 5,Eletrônicos,Sony
34,Camisa Polo Masculina,Vestuário,Tommy Hilfiger
35,Escultura de Resina,Decoração,Arte em Casa
36,Pão de Forma Pullman (500g),Alimentos,Pullman
37,Monitor LG 27" LED,Eletrônicos,LG
38,Macacão Jeans Feminino,Vestuário,Levi's
39,Porta Retrato de Madeira,Decoração,Decora
40,Manteiga Qualy (200g),Alimentos,Qualy
41,Teclado Gamer Redragon,Eletrônicos,Redragon
42,Vestido de Festa Longo,Vestuário,Renner
43,Relógio de Parede Moderno,Decoração,Decora
44,Queijo Prato (500g),Alimentos,Itambé
45,Mouse Gamer,Eletrônicos,Logitech
46,Calça Social Masculina,Vestuário,Aramis
47,Luminária de Chão,Decoração,Decora
48,Iogurte Natural (1L),Alimentos,Danone
49,Webcam HD Logitech,Eletrônicos,Logitech
50,Jaqueta de Couro,Vestuário,Levi's
51,Centro de Mesa de Vidro,Decoração,Decora
52,Suco de Laranja (1L),Alimentos,Del Valle
53,Impressora Multifuncional HP,Eletrônicos,HP
54,Saia Jeans Feminina,Vestuário,Levi's
55,Cesto de Roupas,Decoração,Decora
56,Biscoito de Chocolate (200g),Alimentos,Marilan
57,Alto-Falante Bluetooth,Eletrônicos,JBL
58,Calças Legging Femininas,Vestuário,Adidas
59,Quadros Decorativos,Decoração,Arte em Casa
60,Pão de Queijo Congelado (1kg),Alimentos,Forno de Minas
61,Projetor Portátil,Eletrônicos,Multilaser
62,Vestido de Noiva,Vestuário,Renner
63,Cachepot de Cerâmica,Decoração,Decora
64,Refrigerante Cola (2L),Alimentos,Coca-Cola
65,Adaptador USB-C,Eletrônicos,Apple
66,Camiseta Estampada Feminina,Vestuário,Adidas
67,Velas Aromáticas,Decoração,Decora
68,Arroz Integral (1kg),Alimentos,Arroz Tio João
69,HD Externo 2TB,Eletrônicos,Seagate
70,Calça Flare Feminina,Vestuário,Levi's
71,Mesa de Centro,Decoração,Decora
72,Frango Congelado (1kg),Alimentos,Frango Bom
73,Roteador Wi-Fi,Eletrônicos,TP-Link
74,Blusa de Frio Masculina,Vestuário,Adidas
75,Cadeiras de Jantar,Decoração,Decora
76,Salsicha (500g),Alimentos,Perdigão
77,Carregador Portátil,Eletrônicos,Anker
78,Macacão Curto,Vestuário,Renner
79,Cofre Decorativo,Decoração,Decora
80,Bacon (200g),Alimentos,Perdigão
81,Cabo HDMI,Eletrônicos,Multilaser
82,Calça Pantalona,Vestuário,Renner
83,Esculturas de Jardim,Decoração,Decora
84,Presunto (200g),Alimentos,Perdigão
85,Fone de Ouvido sem Fio,Eletrônicos,Sony
86,Vestido Tubinho,Vestuário,Renner
87,Enfeites de Natal,Decoração,Decora
88,Pão Francês (unidade),Alimentos,Padaria Pão Quente
89,Adaptador Bluetooth,Eletrônicos,Multilaser
90,Shorts de Cós Alto,Vestuário,Renner
91,Guarda-Sol,Decoração,Decora
92,Pizza Congelada (350g),Alimentos,Perdigão
93,Placa de Vídeo,Eletrônicos,Asus
94,Body de Bebê,Vestuário,Brand X
95,Vaso Sanitário,Decoração,Decora
96,Sorvete (1L),Alimentos,Kibon
97,Televisão 8K,Eletrônicos,Samsung
98,Meias de Algodão,Vestuário,Marisa
99,Cortinas Blackout,Decoração,Decora
100,Bolo de Chocolate (500g),Alimentos,Padaria Pão Quente
ID,NOME,CATEGORIA,MARCA
101,Smartphone Motorola Moto G60,Eletrônicos,Motorola
102,Camiseta Feminina Off White,Vestuário,Renner
103,Conjunto de Panelas Brinox,Utensílios de Cozinha,Brinox
104,Arroz Parboilizado (5kg),Alimentos,Arroz Tio João
105,Notebook Lenovo IdeaPad 3,Eletrônicos,Lenovo
106,Calça Jeans Masculina Lee,Vestuário,Lee
107,Luminária de Teto LED,Decoração,Solar
108,Feijão Verde (1kg),Alimentos,Feijão Camil
109,Smartwatch Garmin Forerunner,Eletrônicos,Garmin
110,Vestido Midi Estampado,Vestuário,Marisa
111,Quadro Decorativo Abstrato,Decoração,Arte em Casa
112,Azeite Extra Virgem Andorinha (500ml),Alimentos,Andorinha
113,Fone de Ouvido Sony WH-1000XM4,Eletrônicos,Sony
114,Blusa de Tricô Feminina,Vestuário,Marisa
115,Centro de Mesa de Madeira,Decoração,Decora
116,Café Torrado e Moído Pilão (500g),Alimentos,Pilão
117,Tablet Lenovo Tab P11,Eletrônicos,Lenovo
118,Saia Jeans A, Vestuário,Levi's
119,Espelho de Aumento,Decoração,Decora
120,Açúcar Mascavo (1kg),Alimentos,União
121,Câmera Instantânea Fujifilm Instax Mini,Eletrônicos,Fujifilm
122,Calças de Moletom Femininas,Vestuário,Adidas
123,Abajur de Teto,Decoração,Decora
124,Macarrão Penne (500g),Alimentos,Barilla
125,Smart TV Samsung 55" 4K,Eletrônicos,Samsung
126,Casaco de Neve,Vestuário,Columbia
127,Tapete para Escritório,Decoração,Decora
128,Leite em Pó Ninho (400g),Alimentos,Nestlé
129,Caixa de Som Bluetooth Sony,Eletrônicos,Sony
130,Shorts de Praia Masculino,Vestuário,Adidas
131,Vaso de Plástico Grande,Decoração,Decora
132,Ovos Caipira (Dúzia),Alimentos,Granja Fina
133,Console Xbox Series S,Eletrônicos,Xbox
134,Camisa de Manga Longa,Vestuário,Tommy Hilfiger
135,Escultura de Bronze,Decoração,Arte em Casa
136,Pão Italiano (500g),Alimentos,Padaria Pão Quente
137,Monitor Samsung 24" LED,Eletrônicos,Samsung
138,Macacão de Algodão,Vestuário,Renner
139,Porta Retrato de Acrílico,Decoração,Decora
140,Manteiga Aviação (200g),Alimentos,Aviação
141,Teclado Bluetooth Logitech,Eletrônicos,Logitech
142,Vestido de Festa Midi,Vestuário,Renner
143,Relógio de Pulso Casio,Decoração,Casio
144,Queijo Minas Frescal (500g),Alimentos,Itambé
145,Mouse Sem Fio,Eletrônicos,Logitech
146,Calça Cargo Masculina,Vestuário,Adidas
147,Luminária de Mesa com Porta USB,Decoração,Decora
148,Iogurte Grego (1L),Alimentos,Danone
149,Webcam Logitech C920,Eletrônicos,Logitech
150,Jaqueta Jeans Masculina,Vestuário,Levi's
151,Centro de Mesa de Cerâmica,Decoração,Decora
152,Suco de Uva Integral (1L),Alimentos,Del Valle
153,Impressora Epson EcoTank,Eletrônicos,Epson
154,Saia Longa,Vestuário,Renner
155,Cesto de Pão,Decoração,Decora
156,Biscoito de Polvilho (200g),Alimentos,Elma Chips
157,Alto-Falante Portátil JBL Flip,Eletrônicos,JBL
158,Calças de Moletom Masculinas,Vestuário,Adidas
159,Quadros Decorativos com LED,Decoração,Arte em Casa
160,Pão de Queijo (350g),Alimentos,Forno de Minas
161,Projetor Multilaser,Eletrônicos,Multilaser
162,Vestido de Noiva,Vestuário,Renner
163,Cachepot de Plástico,Decoração,Decora
164,Refrigerante Guaraná (2L),Alimentos,Antártica
165,Adaptador HDMI para VGA,Eletrônicos,Multilaser
166,Camiseta Básica Feminina,Vestuário,Adidas
167,Velas Decorativas,Decoração,Decora
168,Arroz Selvagem (1kg),Alimentos,Arroz Tio João
169,HD Externo Seagate 4TB,Eletrônicos,Seagate
170,Calça de Moletom Feminina,Vestuário,Adidas
171,Mesa de Jantar,Decoração,Decora
172,Frango Desfiado (1kg),Alimentos,Perdigão
173,Roteador Wi-Fi TP-Link,Eletrônicos,TP-Link
174,Blusa de Frio Masculina,Vestuário,Adidas
175,Cadeiras de Escritório,Decoração,Decora
176,Salsicha Viena (500g),Alimentos,Perdigão
177,Carregador Wireless,Eletrônicos,Anker
178,Macacão de Bebê,Vestuário,Baby Gap
179,Cofre de Metal,Decoração,Decora
180,Bacon Defumado (200g),Alimentos,Perdigão
181,Cabo USB-C,Eletrônicos,Multilaser
182,Calça Jeans Skinny Feminina,Vestuário,Levi's
183,Esculturas de Jardim,Decoração,Arte em Casa
184,Presunto Sliced (200g),Alimentos,Perdigão
185,Fone de Ouvido Sem Fio Apple AirPods,Eletrônicos,Apple
186,Vestido Tubinho, Vestuário,Renner
187,Enfeites de Halloween,Decoração,Decora
188,Pão Francês (unidade),Alimentos,Padaria Pão Quente
189,Adaptador de Rede,Eletrônicos,TP-Link
190,Shorts de Cós Alto Feminino,Vestuário,Adidas
191,Guarda-Sol para Praia,Decoração,Decora
192,Pizza de Calabresa Congelada (350g),Alimentos,Perdigão
193,Placa de Vídeo NVIDIA GeForce,Eletrônicos,NVIDIA
194,Body para Bebê,Vestuário,Baby Gap
195,Vaso Sanitário Branco,Decoração,Decora
196,Sorvete de Creme (1L),Alimentos,Kibon
197,Televisão LG OLED 55",Eletrônicos,LG
198,Meias de Algodão Masculinas,Vestuário,Marisa
199,Cortinas de Tecido,Decoração,Decora
200,Bolo de Cenoura (500g),Alimentos,Padaria Pão Quente
201,Smartphone Xiaomi Redmi Note 10,Eletrônicos,Xiaomi
202,Camiseta Masculina Branca,Vestuário,Adidas
203,Conjunto de Talheres Tramontina,Utensílios de Cozinha,Tramontina
204,Arroz Integral (5kg),Alimentos,Arroz Tio João
205,Notebook Asus VivoBook 14,Eletrônicos,Asus
206,Calça Jeans Masculina Wrangler,Vestuário,Wrangler
207,Luminária de Mesa com LED,Decoração,Solar
208,Feijão Carioca (1kg),Alimentos,Feijão Camil
209,Smartwatch Amazfit Bip U,Eletrônicos,Amazfit
210,Vestido Casual,Vestuário,Saraiva
211,Quadro Decorativo com Frase,Decoração,Arte em Casa
212,Azeite Extra Virgem Gallo (1L),Alimentos,Gallo
213,Fone de Ouvido Bluetooth Edifier,Eletrônicos,Edifier
214,Blusa de Frio Masculina,Decoração,Marisa
215,Candelabro de Ferro,Decoração,Decora
216,Café Solúvel Melitta (200g),Alimentos,Melitta
217,Tablet Samsung Galaxy Tab S6,Eletrônicos,Samsung
218,Saia Jeans Curta,Vestuário,Levi's
219,Espelho de Aumento com Luz,Decoração,Decora
220,Açúcar Refinado (1kg),Alimentos,União
221,Câmera Sony Alpha 7 III,Eletrônicos,Sony
222,Calças de Moletom Masculinas,Vestuário,Adidas
223,Abajur de Teto LED,Decoração,Decora
224,Macarrão Fusilli (500g),Alimentos,Barilla
225,Smart TV Philips 50" 4K,Eletrônicos,Philips
226,Casaco de Lã,Vestuário,Columbia
227,Tapete de Entrada,Decoração,Decora
228,Leite em Pó Aptamil (400g),Alimentos,Aptamil
229,Caixa de Som Bluetooth Anker,Eletrônicos,Anker
230,Shorts de Moletom Feminino,Vestuário,Adidas
231,Vaso de Cerâmica Pequeno,Decoração,Decora
232,Ovos Orgânicos (Dúzia),Alimentos,Granja Fina
233,Console Nintendo Switch,Eletrônicos,Nintendo
234,Camisa de Manga Curta,Vestuário,Tommy Hilfiger
235,Escultura de Madeira,Decoração,Arte em Casa
236,Pão de Alho Congelado (350g),Alimentos,Pão de Alho Bom
237,Monitor Dell 24" LED,Eletrônicos,Dell
238,Macacão de Algodão para Bebê,Vestuário,Baby Gap
239,Porta Retrato de Metal,Decoração,Decora
240,Manteiga Láctea (200g),Alimentos,Qualy
241,Teclado Gamer Corsair,Eletrônicos,Corsair
242,Vestido de Festa Curto,Vestuário,Renner
243,Relógio de Pulso Michael Kors,Decoração,Michael Kors
244,Queijo Prato (1kg),Alimentos,Itambé
245,Mouse Sem Fio Logitech,Eletrônicos,Logitech
246,Calça Social Feminina,Vestuário,Cavalera
247,Luminária de Chão LED,Decoração,Decora
248,Iogurte Natural Activia (1L),Alimentos,Activia
249,Webcam HD Razer,Eletrônicos,Razer
250,Jaqueta Jeans Feminina,Vestuário,Levi's
251,Centro de Mesa de Ferro,Decoração,Decora
252,Suco de Laranja Tropicana (1L),Alimentos,Tropicana
253,Impressora Canon EcoTank,Eletrônicos,Canon
254,Saia de Cintura Alta,Vestuário,Renner
255,Cesto de Roupas de Plástico,Decoração,Decora
256,Biscoito de Maizena (200g),Alimentos,Marilan
257,Alto-Falante Bluetooth Sony,Eletrônicos,Sony
258,Calças de Moletom Femininas,Vestuário,Adidas
259,Quadros Decorativos com Frases Motivacionais,Decoração,Arte em Casa
260,Pão de Queijo Tradicional (1kg),Alimentos,Forno de Minas
261,Projetor de Vídeo,Eletrônicos,Multilaser
262,Vestido de Noiva, Vestuário,Renner
263,Cachepot de Cerâmica Pequeno,Decoração,Decora
264,Refrigerante Fanta (2L),Alimentos,Coca-Cola
265,Adaptador USB para HDMI,Eletrônicos,Multilaser
266,Camiseta Básica Masculina,Vestuário,Adidas
267,Velas Aromáticas de Lavanda,Decoração,Decora
268,Arroz Basmati (1kg),Alimentos,Arroz Tio João
269,HD Externo Western Digital 2TB,Eletrônicos,Western Digital
270,Calça de Moletom Masculina,Vestuário,Adidas
271,Mesa de Centro de Vidro,Decoração,Decora
272,Frango Empanado (1kg),Alimentos,Perdigão
273,Roteador Wi-Fi D-Link,Eletrônicos,D-Link
274,Blusa de Frio Feminina,Vestuário,Adidas
275,Cadeiras de Jantar de Madeira,Decoração,Decora
276,Salsicha Seara (500g),Alimentos,Seara
277,Carregador Portátil Xiaomi,Eletrônicos,Xiaomi
278,Macacão Curto para Bebê,Vestuário,Baby Gap
279,Cofre de Plástico,Decoração,Decora
280,Bacon Defumado (500g),Alimentos,Seara
281,Cabo USB tipo C,Eletrônicos,Multilaser
282,Calça Jeans Feminina Skinny,Vestuário,Levi's
283,Esculturas de Jardim de Gato,Decoração,Arte em Casa
284,Presunto Cozido (500g),Alimentos,Perdigão
285,Fone de Ouvido Wireless Sennheiser,Eletrônicos,Sennheiser
286,Vestido de Festa Longo,Vestuário,Renner
287,Enfeites de Natal com Luz,Decoração,Decora
288,Pão Francês Fresco (unidade),Alimentos,Padaria Pão Quente
289,Adaptador de Rede Wireless,Eletrônicos,TP-Link
290,Shorts de Cós Alto Feminino,Vestuário,Adidas
291,Guarda-Sol com Estampa,Decoração,Decora
292,Pizza de Frango Congelada (350g),Alimentos,Perdigão
293,Placa de Vídeo AMD Radeon,Eletrônicos,AMD
294,Body para Bebê de Algodão,Vestuário,Baby Gap
295,Vaso de Flores de Plástico,Decoração,Decora
296,Sorvete de Morango (1L),Alimentos,Kibon
297,Televisão Samsung 65" 4K,Eletrônicos,Samsung
298,Meias de Algodão Femininas,Vestuário,Marisa
299,Cortinas de Tecido com Estampa,Decoração,Decora
300,Bolo de Fubá (500g),Alimentos,Padaria Pão Quente
301,Smartphone Motorola Moto G9,Eletrônicos,Motorola
302,Camiseta Feminina Preta,Vestuário,Adidas
303,Conjunto de Facas Tramontina,Utensílios de Cozinha,Tramontina
